hint,coding_id,sample_id,coding_scheme,coding_result,
,D5,' 13-3518-0 ',The citation request is on project/software website.,1,
,D6,' 13-3518-0 ',The software has a publically accessible CITATION file.,0,
,D7,' 13-3518-0 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 13-3518-0 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 13-3518-0 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 13-3518-0 ',The citation request points to the software itself.,0,
,D11,' 13-3518-0 ',The citation request points to a software publication.,1,
,D12,' 13-3518-0 ',The citation request points to a domain science publication.,0,
,D13,' 13-3518-0 ',The citation request points to a project.,0,
,D14,' 13-3518-0 ',The citation request points to a non-software product other than the ones specified above.,0,
,D15,' 13-3518-0 ',OPTIONAL please specify the type of the requested citation object:,NA,
,D16,' 13-3518-0 ',OPTIONAL please copy and paste the link to the citation request:,NA,
,D17,' 13-3518-0 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 13-3518-0 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 13-3518-0 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 14-1167-2 ',The extracted mention is a mention of software.,1,
,A2,' 14-1167-2 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 14-1167-2 ',The name of the mentioned software is given in context.,1,
,A4,' 14-1167-2 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 14-1167-2 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 14-1167-2 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 14-1167-2 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 14-1167-2 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 14-1167-2 ',The URL of the mentioned software is given in context.,1,
,A10,' 14-1167-2 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,1,
Check `context`,A11,' 14-1167-2 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 14-1167-2 ',The mentioned software is used according to the context.,1,
,A13,' 14-1167-2 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 14-1167-2 ',The mention has an extracted reference entry from bibliography.,1,
,B2,' 14-1167-2 ',The extracted reference entry is the reference of this work.,1,
,B3,' 14-1167-2 ',The reference is a software publication.,0,
,B4,' 14-1167-2 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",0,
,B5,' 14-1167-2 ',The reference is a domain science publication.,1,
,B6,' 14-1167-2 ',The reference is a software manual/user guide.,0,
,B7,' 14-1167-2 ',The reference points to a project but the not the software product.,0,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 14-1167-2 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 14-1167-2 ',The reference string contains the name of the software.,1,
,B10,' 14-1167-2 ',The reference string contains version/release date of the software.,0,
,B11,' 14-1167-2 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,0,
,B12,' 14-1167-2 ',The reference string contains the publisher/creator of the mentioned software.,1,
Citation functions,C1,' 14-1167-2 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 14-1167-2 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 14-1167-2 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 14-1167-2 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 14-1167-2 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 14-1167-2 ',There is no access to the software.,0,
,C7,' 14-1167-2 ',There is only purchase access to the software.,0,
,C8,' 14-1167-2 ',There is free access to the software.,1,
,C9,' 14-1167-2 ',The source code of the software is accessible.,1,personal contact
,C10,' 14-1167-2 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",0,
,C11,' 14-1167-2 ',The software has an open souce license.,0,
Citation request,D1,' 14-1167-2 ',The software citation matches its citation request.,1,
,D2,' 14-1167-2 ',The software has a publically accessible citation request in plain text style.,1,
,D3,' 14-1167-2 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 14-1167-2 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 14-1167-2 ',The citation request is on project/software website.,1,
,D6,' 14-1167-2 ',The software has a publically accessible CITATION file.,0,
,D7,' 14-1167-2 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 14-1167-2 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 14-1167-2 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 14-1167-2 ',The citation request points to the software itself.,0,
,D11,' 14-1167-2 ',The citation request points to a software publication.,0,
,D12,' 14-1167-2 ',The citation request points to a domain science publication.,1,I interpreted this as a methods paper.
,D13,' 14-1167-2 ',The citation request points to a project.,0,
,D14,' 14-1167-2 ',The citation request points to a non-software product other than the ones specified above.,0,
,D15,' 14-1167-2 ',OPTIONAL please specify the type of the requested citation object:,NA,
,D16,' 14-1167-2 ',OPTIONAL please copy and paste the link to the citation request:,NA,
,D17,' 14-1167-2 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 14-1167-2 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 14-1167-2 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 14-507-37 ',The extracted mention is a mention of software.,1,
,A2,' 14-507-37 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 14-507-37 ',The name of the mentioned software is given in context.,1,
,A4,' 14-507-37 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 14-507-37 ',The version/release date of the mentioned software is given in context.,1,
,A6,' 14-507-37 ',The extracted `version` is an existing version of the mentioned software.,1,
Check `publisher`,A7,' 14-507-37 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 14-507-37 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 14-507-37 ',The URL of the mentioned software is given in context.,0,
,A10,' 14-507-37 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 14-507-37 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 14-507-37 ',The mentioned software is used according to the context.,1,
,A13,' 14-507-37 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 14-507-37 ',The mention has an extracted reference entry from bibliography.,1,
,B2,' 14-507-37 ',The extracted reference entry is the reference of this work.,1,
,B3,' 14-507-37 ',The reference is a software publication.,1,
,B4,' 14-507-37 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",0,
,B5,' 14-507-37 ',The reference is a domain science publication.,0,
,B6,' 14-507-37 ',The reference is a software manual/user guide.,0,
,B7,' 14-507-37 ',The reference points to a project but the not the software product.,0,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 14-507-37 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 14-507-37 ',The reference string contains the name of the software.,1,
,B10,' 14-507-37 ',The reference string contains version/release date of the software.,0,
,B11,' 14-507-37 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,1,
,B12,' 14-507-37 ',The reference string contains the publisher/creator of the mentioned software.,1,
Citation functions,C1,' 14-507-37 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 14-507-37 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 14-507-37 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",1,
,C4,' 14-507-37 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 14-507-37 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 14-507-37 ',There is no access to the software.,0,
,C7,' 14-507-37 ',There is only purchase access to the software.,0,
,C8,' 14-507-37 ',There is free access to the software.,1,
,C9,' 14-507-37 ',The source code of the software is accessible.,1,
,C10,' 14-507-37 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",1,
,C11,' 14-507-37 ',The software has an open souce license.,1,
Citation request,D1,' 14-507-37 ',The software citation matches its citation request.,1,
,D2,' 14-507-37 ',The software has a publically accessible citation request in plain text style.,0,
,D3,' 14-507-37 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 14-507-37 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 14-507-37 ',The citation request is on project/software website.,0,
,D6,' 14-507-37 ',The software has a publically accessible CITATION file.,0,
,D7,' 14-507-37 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 14-507-37 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 14-507-37 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 14-507-37 ',The citation request points to the software itself.,NA,
,D11,' 14-507-37 ',The citation request points to a software publication.,NA,
,D12,' 14-507-37 ',The citation request points to a domain science publication.,NA,
,D13,' 14-507-37 ',The citation request points to a project.,NA,
,D14,' 14-507-37 ',The citation request points to a non-software product other than the ones specified above.,NA,
,D15,' 14-507-37 ',OPTIONAL please specify the type of the requested citation object:,,
,D16,' 14-507-37 ',OPTIONAL please copy and paste the link to the citation request:,,
,D17,' 14-507-37 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 14-507-37 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 14-507-37 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 3-47-0 ',The extracted mention is a mention of software.,1,
,A2,' 3-47-0 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 3-47-0 ',The name of the mentioned software is given in context.,1,
,A4,' 3-47-0 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 3-47-0 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 3-47-0 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 3-47-0 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 3-47-0 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 3-47-0 ',The URL of the mentioned software is given in context.,0,
,A10,' 3-47-0 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 3-47-0 ',"Additional configuration details of the software is given (e.g., operating environment)",1,blueprint
Indicating whether the software is used should be one of the citation functions.,A12,' 3-47-0 ',The mentioned software is used according to the context.,1,
,A13,' 3-47-0 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 3-47-0 ',The mention has an extracted reference entry from bibliography.,0,
,B2,' 3-47-0 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 3-47-0 ',The reference is a software publication.,NA,
,B4,' 3-47-0 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 3-47-0 ',The reference is a domain science publication.,NA,
,B6,' 3-47-0 ',The reference is a software manual/user guide.,NA,
,B7,' 3-47-0 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 3-47-0 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 3-47-0 ',The reference string contains the name of the software.,NA,
,B10,' 3-47-0 ',The reference string contains version/release date of the software.,NA,
,B11,' 3-47-0 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 3-47-0 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 3-47-0 ',The software is an identifiable entity with the extracted information.,0,Not really sure here.
,C2,' 3-47-0 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 3-47-0 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 3-47-0 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 3-47-0 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 3-47-0 ',There is no access to the software.,0,
,C7,' 3-47-0 ',There is only purchase access to the software.,0,
,C8,' 3-47-0 ',There is free access to the software.,1,
,C9,' 3-47-0 ',The source code of the software is accessible.,0,
,C10,' 3-47-0 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",0,
,C11,' 3-47-0 ',The software has an open souce license.,0,
Citation request,D1,' 3-47-0 ',The software citation matches its citation request.,NA,
,D2,' 3-47-0 ',The software has a publically accessible citation request in plain text style.,0,
,D3,' 3-47-0 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 3-47-0 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 3-47-0 ',The citation request is on project/software website.,0,
,D6,' 3-47-0 ',The software has a publically accessible CITATION file.,0,
,D7,' 3-47-0 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 3-47-0 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 3-47-0 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 3-47-0 ',The citation request points to the software itself.,NA,
,D11,' 3-47-0 ',The citation request points to a software publication.,NA,
,D12,' 3-47-0 ',The citation request points to a domain science publication.,NA,
,D13,' 3-47-0 ',The citation request points to a project.,NA,
,D14,' 3-47-0 ',The citation request points to a non-software product other than the ones specified above.,NA,
,D15,' 3-47-0 ',OPTIONAL please specify the type of the requested citation object:,there is  some discussion of  PMID for citing in their forums,
,D16,' 3-47-0 ',OPTIONAL please copy and paste the link to the citation request:,,
,D17,' 3-47-0 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 3-47-0 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 3-47-0 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 3-147-0 ',The extracted mention is a mention of software.,1,
,A2,' 3-147-0 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 3-147-0 ',The name of the mentioned software is given in context.,1,
,A4,' 3-147-0 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 3-147-0 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 3-147-0 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 3-147-0 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 3-147-0 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 3-147-0 ',The URL of the mentioned software is given in context.,0,
,A10,' 3-147-0 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 3-147-0 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 3-147-0 ',The mentioned software is used according to the context.,0,
,A13,' 3-147-0 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 3-147-0 ',The mention has an extracted reference entry from bibliography.,0,"But it should have done, see  ref 17"
,B2,' 3-147-0 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 3-147-0 ',The reference is a software publication.,NA,
,B4,' 3-147-0 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 3-147-0 ',The reference is a domain science publication.,NA,
,B6,' 3-147-0 ',The reference is a software manual/user guide.,NA,
,B7,' 3-147-0 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 3-147-0 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 3-147-0 ',The reference string contains the name of the software.,NA,
,B10,' 3-147-0 ',The reference string contains version/release date of the software.,NA,
,B11,' 3-147-0 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 3-147-0 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 3-147-0 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 3-147-0 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 3-147-0 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 3-147-0 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 3-147-0 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 3-147-0 ',There is no access to the software.,0,
,C7,' 3-147-0 ',There is only purchase access to the software.,0,
,C8,' 3-147-0 ',There is free access to the software.,1,
,C9,' 3-147-0 ',The source code of the software is accessible.,1,
,C10,' 3-147-0 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",1,
,C11,' 3-147-0 ',The software has an open souce license.,1,
Citation request,D1,' 3-147-0 ',The software citation matches its citation request.,0,"There is a request, but no citation extracted …"
,D2,' 3-147-0 ',The software has a publically accessible citation request in plain text style.,1,
,D3,' 3-147-0 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 3-147-0 ',"The citation request is in a working repository README. (e.g., GitHub)",1,
,D5,' 3-147-0 ',The citation request is on project/software website.,0,
,D6,' 3-147-0 ',The software has a publically accessible CITATION file.,0,
,D7,' 3-147-0 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 3-147-0 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 3-147-0 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 3-147-0 ',The citation request points to the software itself.,0,
,D11,' 3-147-0 ',The citation request points to a software publication.,1,
,D12,' 3-147-0 ',The citation request points to a domain science publication.,1,it's both.
,D13,' 3-147-0 ',The citation request points to a project.,0,
,D14,' 3-147-0 ',The citation request points to a non-software product other than the ones specified above.,0,
,D15,' 3-147-0 ',OPTIONAL please specify the type of the requested citation object:,0,
,D16,' 3-147-0 ',OPTIONAL please copy and paste the link to the citation request:,0,
,D17,' 3-147-0 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 3-147-0 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 3-147-0 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 4-302-5 ',The extracted mention is a mention of software.,1,
,A2,' 4-302-5 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 4-302-5 ',The name of the mentioned software is given in context.,1,
,A4,' 4-302-5 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 4-302-5 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 4-302-5 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 4-302-5 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 4-302-5 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 4-302-5 ',The URL of the mentioned software is given in context.,1,
,A10,' 4-302-5 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,1,
Check `context`,A11,' 4-302-5 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 4-302-5 ',The mentioned software is used according to the context.,1,
,A13,' 4-302-5 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 4-302-5 ',The mention has an extracted reference entry from bibliography.,0,
,B2,' 4-302-5 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 4-302-5 ',The reference is a software publication.,NA,
,B4,' 4-302-5 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 4-302-5 ',The reference is a domain science publication.,NA,
,B6,' 4-302-5 ',The reference is a software manual/user guide.,NA,
,B7,' 4-302-5 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 4-302-5 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 4-302-5 ',The reference string contains the name of the software.,NA,
,B10,' 4-302-5 ',The reference string contains version/release date of the software.,NA,
,B11,' 4-302-5 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 4-302-5 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 4-302-5 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 4-302-5 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 4-302-5 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 4-302-5 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 4-302-5 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 4-302-5 ',There is no access to the software.,0,
,C7,' 4-302-5 ',There is only purchase access to the software.,0,
,C8,' 4-302-5 ',There is free access to the software.,1,
,C9,' 4-302-5 ',The source code of the software is accessible.,0,
,C10,' 4-302-5 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",0,
,C11,' 4-302-5 ',The software has an open souce license.,0,
Citation request,D1,' 4-302-5 ',The software citation matches its citation request.,0,
,D2,' 4-302-5 ',The software has a publically accessible citation request in plain text style.,1,
,D3,' 4-302-5 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 4-302-5 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 4-302-5 ',The citation request is on project/software website.,1,
,D6,' 4-302-5 ',The software has a publically accessible CITATION file.,0,
,D7,' 4-302-5 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 4-302-5 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 4-302-5 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 4-302-5 ',The citation request points to the software itself.,0,
,D11,' 4-302-5 ',The citation request points to a software publication.,1,
,D12,' 4-302-5 ',The citation request points to a domain science publication.,0,
,D13,' 4-302-5 ',The citation request points to a project.,0,
,D14,' 4-302-5 ',The citation request points to a non-software product other than the ones specified above.,0,
,D15,' 4-302-5 ',OPTIONAL please specify the type of the requested citation object:,,
,D16,' 4-302-5 ',OPTIONAL please copy and paste the link to the citation request:,,
,D17,' 4-302-5 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 4-302-5 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 4-302-5 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 4-80-5 ',The extracted mention is a mention of software.,1,
,A2,' 4-80-5 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 4-80-5 ',The name of the mentioned software is given in context.,1,
,A4,' 4-80-5 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 4-80-5 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 4-80-5 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 4-80-5 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 4-80-5 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 4-80-5 ',The URL of the mentioned software is given in context.,0,
,A10,' 4-80-5 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 4-80-5 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 4-80-5 ',The mentioned software is used according to the context.,1,
,A13,' 4-80-5 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 4-80-5 ',The mention has an extracted reference entry from bibliography.,0,"although maybe it should (I think that's what the ""40""  text after the software name is?)"
,B2,' 4-80-5 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 4-80-5 ',The reference is a software publication.,NA,
,B4,' 4-80-5 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 4-80-5 ',The reference is a domain science publication.,NA,
,B6,' 4-80-5 ',The reference is a software manual/user guide.,NA,
,B7,' 4-80-5 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 4-80-5 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 4-80-5 ',The reference string contains the name of the software.,NA,
,B10,' 4-80-5 ',The reference string contains version/release date of the software.,NA,
,B11,' 4-80-5 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 4-80-5 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 4-80-5 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 4-80-5 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 4-80-5 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 4-80-5 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 4-80-5 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 4-80-5 ',There is no access to the software.,0,
,C7,' 4-80-5 ',There is only purchase access to the software.,0,
,C8,' 4-80-5 ',There is free access to the software.,1,
,C9,' 4-80-5 ',The source code of the software is accessible.,1,
,C10,' 4-80-5 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",1,
,C11,' 4-80-5 ',The software has an open souce license.,1,
Citation request,D1,' 4-80-5 ',The software citation matches its citation request.,0,
,D2,' 4-80-5 ',The software has a publically accessible citation request in plain text style.,1,http://www.clustal.org/clustal2/
,D3,' 4-80-5 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 4-80-5 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 4-80-5 ',The citation request is on project/software website.,1,
,D6,' 4-80-5 ',The software has a publically accessible CITATION file.,0,
,D7,' 4-80-5 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 4-80-5 ',The software has a publically accessible CodeMeta file.,0,
